EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM
1612518151496411256,BID_DEPTH,"[(99960, 310)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518151496411256,ASK_DEPTH,"[(99961, 4)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518151496411256,IMBALANCE,"[310, 4]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518172708145715,BID_DEPTH,"[(99960, 313)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518172708145715,ASK_DEPTH,"[(99961, 400)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518172708145715,IMBALANCE,"[313, 400]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518186329174687,BID_DEPTH,"[(99960, 359)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518186329174687,ASK_DEPTH,"[(99961, 477)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518186329174687,IMBALANCE,"[359, 477]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518187040010680,BID_DEPTH,"[(99960, 259)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518187040010680,ASK_DEPTH,"[(99961, 477)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518187040010680,IMBALANCE,"[259, 477]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518201761282475,BID_DEPTH,"[(99958, 704)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518201761282475,ASK_DEPTH,"[(99959, 13)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518201761282475,IMBALANCE,"[704, 13]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518204591641657,BID_DEPTH,"[(99958, 555)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518204591641657,ASK_DEPTH,"[(99959, 113)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518204591641657,IMBALANCE,"[555, 113]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518234713609309,BID_DEPTH,"[(99959, 12)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518234713609309,ASK_DEPTH,"[(99960, 542)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518234713609309,IMBALANCE,"[12, 542]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518242110938653,BID_DEPTH,"[(99957, 24)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518242110938653,ASK_DEPTH,"[(99958, 45)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518242110938653,IMBALANCE,"[24, 45]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518310022173710,BID_DEPTH,"[(99955, 225)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518310022173710,ASK_DEPTH,"[(99957, 300)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518310022173710,IMBALANCE,"[225, 300]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518314787223468,BID_DEPTH,"[(99956, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518314787223468,ASK_DEPTH,"[(99957, 300)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518314787223468,IMBALANCE,"[100, 300]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518448880930943,BID_DEPTH,"[(99956, 464)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518448880930943,ASK_DEPTH,"[(99957, 285)]",1105,MomentumAgent,,,,,,,,,,,,,,
