,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread
6,0,ORDER_SUBMITTED,,363,NoiseAgent,,2021-02-05 09:26:54,ABM,100.0,Side.BID,560.0,,,99976.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,363,NoiseAgent,,2021-02-05 09:26:54,ABM,20.0,Side.BID,560.0,99976.0,,99976.0,False,False,False,False,0.0,,,,
10,0,ORDER_EXECUTED,,363,NoiseAgent,,2021-02-05 09:26:54,ABM,80.0,Side.BID,560.0,99976.0,,99976.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,365,NoiseAgent,,2021-02-05 09:17:56,ABM,100.0,Side.ASK,353.0,,,99956.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,365,NoiseAgent,,2021-02-05 09:17:56,ABM,100.0,Side.ASK,353.0,99956.0,,99956.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,371,NoiseAgent,,2021-02-05 09:21:36,ABM,100.0,Side.ASK,437.0,,,99983.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,371,NoiseAgent,,2021-02-05 09:21:36,ABM,100.0,Side.ASK,437.0,99983.0,,99983.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,384,NoiseAgent,,2021-02-05 09:13:34,ABM,400.0,Side.BID,267.0,,,99995.0,False,False,False,False,1190.0,,,,
7,0,ORDER_EXECUTED,,384,NoiseAgent,,2021-02-05 09:13:34,ABM,10.0,Side.BID,267.0,99995.0,,99995.0,False,False,False,False,1190.0,,,,
10,1612516443601031459,ORDER_EXECUTED,,384,NoiseAgent,,2021-02-05 09:13:34,ABM,100.0,Side.BID,267.0,99995.0,,99995.0,False,False,False,False,1190.0,,,,
12,1612516443743631052,ORDER_EXECUTED,,384,NoiseAgent,,2021-02-05 09:13:34,ABM,100.0,Side.BID,267.0,99995.0,,99995.0,False,False,False,False,1190.0,,,,
14,1612516522539087698,ORDER_EXECUTED,,384,NoiseAgent,,2021-02-05 09:13:34,ABM,100.0,Side.BID,267.0,99995.0,,99995.0,False,False,False,False,1190.0,,,,
16,1612516523042377572,ORDER_EXECUTED,,384,NoiseAgent,,2021-02-05 09:13:34,ABM,90.0,Side.BID,267.0,99995.0,,99995.0,False,False,False,False,1190.0,,,,
6,0,ORDER_SUBMITTED,,386,NoiseAgent,,2021-02-05 09:12:35,ABM,100.0,Side.ASK,242.0,,,99991.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,386,NoiseAgent,,2021-02-05 09:12:35,ABM,38.0,Side.ASK,242.0,99991.0,,99991.0,False,False,False,False,0.0,,,,
10,1612516363348828675,ORDER_EXECUTED,,386,NoiseAgent,,2021-02-05 09:12:35,ABM,62.0,Side.ASK,242.0,99991.0,,99991.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,392,NoiseAgent,,2021-02-05 09:14:55,ABM,100.0,Side.BID,287.0,,,100010.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,392,NoiseAgent,,2021-02-05 09:14:55,ABM,90.0,Side.BID,287.0,100010.0,,100010.0,False,False,False,False,0.0,,,,
