,order_id,quantity
0,0.0,108.0
1,2.0,100.0
2,3.0,7.0
3,4.0,100.0
4,5.0,43.0
5,6.0,18.0
6,7.0,100.0
7,14.0,100.0
8,16.0,100.0
9,18.0,43.0
10,19.0,100.0
11,22.0,100.0
12,23.0,7.0
13,24.0,100.0
14,25.0,8.0
15,26.0,100.0
16,27.0,100.0
17,28.0,100.0
18,30.0,100.0
19,31.0,100.0
20,32.0,100.0
21,35.0,100.0
22,36.0,100.0
23,37.0,200.0
24,38.0,100.0
25,39.0,100.0
26,40.0,100.0
27,42.0,100.0
28,43.0,41.0
29,44.0,82.0
30,45.0,13.0
31,47.0,13.0
32,48.0,100.0
33,50.0,100.0
34,51.0,100.0
35,52.0,100.0
36,53.0,100.0
37,54.0,77.0
38,55.0,100.0
39,56.0,100.0
40,57.0,96.0
41,58.0,100.0
42,60.0,100.0
43,61.0,3.0
44,62.0,100.0
45,63.0,100.0
46,65.0,96.0
47,66.0,100.0
48,67.0,100.0
49,68.0,100.0
50,70.0,100.0
51,71.0,400.0
52,72.0,100.0
53,73.0,100.0
54,74.0,4.0
55,75.0,100.0
56,76.0,400.0
57,77.0,100.0
58,78.0,100.0
59,79.0,100.0
60,80.0,100.0
61,81.0,100.0
62,82.0,100.0
63,83.0,59.0
64,84.0,100.0
65,85.0,100.0
66,86.0,100.0
67,87.0,100.0
68,88.0,100.0
69,89.0,100.0
70,90.0,100.0
71,91.0,100.0
72,92.0,100.0
73,93.0,100.0
74,94.0,100.0
75,95.0,100.0
76,96.0,11.0
77,97.0,43.0
78,98.0,39.0
79,100.0,100.0
80,103.0,7.0
81,104.0,20.0
82,106.0,100.0
83,107.0,100.0
84,108.0,41.0
85,109.0,100.0
86,110.0,100.0
87,111.0,100.0
88,112.0,4.0
89,113.0,17.0
90,114.0,100.0
91,115.0,100.0
92,116.0,100.0
93,117.0,100.0
94,118.0,100.0
95,119.0,100.0
96,120.0,100.0
97,121.0,10.0
98,122.0,100.0
99,123.0,100.0
100,124.0,100.0
101,125.0,100.0
102,126.0,100.0
103,127.0,8.0
104,129.0,5.0
105,130.0,100.0
106,131.0,18.0
107,132.0,18.0
108,133.0,100.0
109,134.0,100.0
110,135.0,100.0
111,136.0,22.0
112,137.0,100.0
113,138.0,100.0
114,139.0,22.0
115,140.0,100.0
116,141.0,100.0
117,142.0,100.0
118,143.0,100.0
119,144.0,100.0
120,145.0,100.0
121,146.0,100.0
122,147.0,100.0
123,148.0,20.0
124,149.0,100.0
125,150.0,100.0
126,151.0,100.0
127,152.0,100.0
128,153.0,80.0
129,155.0,100.0
130,156.0,8.0
131,157.0,100.0
132,158.0,100.0
133,159.0,100.0
134,160.0,100.0
135,161.0,100.0
136,162.0,100.0
137,163.0,100.0
138,164.0,100.0
139,165.0,56.0
140,167.0,100.0
141,168.0,100.0
142,170.0,100.0
143,171.0,100.0
144,172.0,92.0
145,173.0,100.0
146,174.0,100.0
147,175.0,100.0
148,176.0,4.0
