,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
6,1612530000003177645,ENDING_CASH,10000000,20,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,21,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,21,NoiseAgent,11099186.0,,,,,,,,,,,,,,-11.0
13,1612523248633836339,HOLDINGS_UPDATED,,21,NoiseAgent,19992600.0,,,,,,,,,,,,,,-100.0
18,1612530000007073957,ENDING_CASH,9992000,21,NoiseAgent,9992000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,22,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000000621648,ENDING_CASH,10000000,22,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,23,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,23,NoiseAgent,8299507.0,,,,,,,,,,,,,,17.0
14,1612530000002161211,ENDING_CASH,9999609,23,NoiseAgent,9999609.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,24,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002852006,ENDING_CASH,10000000,24,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,25,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,25,NoiseAgent,15200884.0,,,,,,,,,,,,,,-52.0
13,1612517792699013966,HOLDINGS_UPDATED,,25,NoiseAgent,20001700.0,,,,,,,,,,,,,,-100.0
18,1612530000008439477,ENDING_CASH,10001100,25,NoiseAgent,10001100.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,26,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,26,NoiseAgent,11599840.0,,,,,,,,,,,,,,-16.0
13,1612522282264145603,HOLDINGS_UPDATED,,26,NoiseAgent,19999000.0,,,,,,,,,,,,,,-100.0
18,1612530000000359622,ENDING_CASH,9998400,26,NoiseAgent,9998400.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,27,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,27,NoiseAgent,11500240.0,,,,,,,,,,,,,,-15.0
14,1612530000002095449,ENDING_CASH,10000150,27,NoiseAgent,10000150.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,28,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,28,NoiseAgent,-3400.0,,,,,,,,,,,,,,100.0
14,1612530000004384555,ENDING_CASH,9997200,28,NoiseAgent,9997200.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,29,NoiseAgent,10000000.0,,,,,,,,,,,,,,
10,0,HOLDINGS_UPDATED,,29,NoiseAgent,13601080.0,,,,,,,,,,,,,,-36.0
13,1612521191065876190,HOLDINGS_UPDATED,,29,NoiseAgent,20003000.0,,,,,,,,,,,,,,-100.0
18,1612530000006590820,ENDING_CASH,10002400,29,NoiseAgent,10002400.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,30,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000002171841,ENDING_CASH,10000000,30,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,31,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,31,NoiseAgent,15599608.0,,,,,,,,,,,,,,-56.0
14,1612530000001741068,ENDING_CASH,9999272,31,NoiseAgent,9999272.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,32,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000006768159,ENDING_CASH,10000000,32,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,33,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000003507201,ENDING_CASH,10000000,33,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,34,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000000579938,ENDING_CASH,10000000,34,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,35,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,35,NoiseAgent,11100176.0,,,,,,,,,,,,,,-11.0
14,1612530000007799238,ENDING_CASH,10000110,35,NoiseAgent,10000110.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,36,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000000551580,ENDING_CASH,10000000,36,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,37,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001472174,ENDING_CASH,10000000,37,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,38,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,38,NoiseAgent,19991700.0,,,,,,,,,,,,,,-100.0
14,1612530000008232986,ENDING_CASH,9991100,38,NoiseAgent,9991100.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,39,NoiseAgent,10000000.0,,,,,,,,,,,,,,
