,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM,cash,holdings,mark_to_marked_holdings,total_depot_value,profit
473,1612519517473568464,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:17,ABM,6.0,Side.ASK,18772.0,99963.0,,99963.0,False,False,False,False,,,,,,
482,1612519517473568514,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:17,ABM,94.0,Side.ASK,18772.0,99963.0,,99963.0,False,False,False,False,,,,,,
495,1612519523892887126,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:23,ABM,65.0,Side.ASK,18779.0,99962.0,,99962.0,False,False,False,False,,,,,,
505,1612519533344611891,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:23,ABM,35.0,Side.ASK,18779.0,99962.0,,99962.0,False,False,False,False,,,,,,
518,1612519624080658043,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:07:04,ABM,46.0,Side.ASK,18886.0,99959.0,,99959.0,False,False,False,False,,,,,,
532,1612519627091490500,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:07:07,ABM,8.0,Side.ASK,18889.0,99957.0,,99957.0,False,False,False,False,,,,,,
541,1612519631969036973,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:07:04,ABM,54.0,Side.ASK,18886.0,99959.0,,99959.0,False,False,False,False,,,,,,
554,1612519696040298670,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:16,ABM,13.0,Side.ASK,18963.0,99956.0,,99956.0,False,False,False,False,,,,,,
567,1612519782240265751,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:09:42,ABM,43.0,Side.ASK,19108.0,99950.0,,99950.0,False,False,False,False,,,,,,
576,1612519782240265801,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:09:42,ABM,57.0,Side.ASK,19108.0,99950.0,,99950.0,False,False,False,False,,,,,,
