,,6,0,ORDER_SUBMITTED,,194,NoiseAgent,,2/5/2021 9:56,ABM,200,Side.BID,2174,,,99984,FALSE,FALSE,FALSE,FALSE,,
,,7,0,MARKET_FEE,,194,NoiseAgent,,,,,,,,,,,,,,1190,
,,8,0,ORDER_EXECUTED,,194,NoiseAgent,,2/5/2021 9:56,ABM,94,Side.BID,2174,99984,,99984,FALSE,FALSE,FALSE,FALSE,,
,,9,0,HOLDINGS_UPDATED,,194,NoiseAgent,601504,,,,,,,,,,,,,,94
,,10,0,ORDER_ACCEPTED,,194,NoiseAgent,,2/5/2021 9:56,ABM,106,Side.BID,2174,,,99984,FALSE,FALSE,FALSE,FALSE,,
,,11,1.61252E+18,MARKET_FEE,,194,NoiseAgent,,,,,,,,,,,,,,1190,
,,12,1.61252E+18,ORDER_EXECUTED,,194,NoiseAgent,,2/5/2021 9:56,ABM,100,Side.BID,2174,99984,,99984,FALSE,FALSE,FALSE,FALSE,,
,,13,1.61252E+18,HOLDINGS_UPDATED,,194,NoiseAgent,-9396896,,,,,,,,,,,,,,194
,,14,1.61252E+18,MARKET_FEE,,194,NoiseAgent,,,,,,,,,,,,,,1190,
,,15,1.61252E+18,ORDER_EXECUTED,,194,NoiseAgent,,2/5/2021 9:56,ABM,6,Side.BID,2174,99984,,99984,FALSE,FALSE,FALSE,FALSE,,
,,16,1.61252E+18,HOLDINGS_UPDATED,,194,NoiseAgent,-9996800,,,,,,,,,,,,,,200
,,17,1.61253E+18,FINAL_HOLDINGS,"{ ABM: 200, CASH: -9996800 }",194,NoiseAgent,,,,,,,,,,,,,,,
,,18,1.61253E+18,FINAL_CASH_POSITION,-9996800,194,NoiseAgent,,,,,,,,,,,,,,,
,,19,1.61253E+18,MARK_TO_MARKET,200 ABM @ 99863 == 19972600,194,NoiseAgent,,,,,,,,,,,,,,,
,,20,1.61253E+18,MARKED_TO_MARKET,9975800,194,NoiseAgent,,,,,,,,,,,,,,,
,,21,1.61253E+18,ENDING_CASH,9975800,194,NoiseAgent,,,,,,,,,,,,,,,
,,22,1.61253E+18,FINAL_VALUATION,-1.9796833,194,NoiseAgent,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,-24200,,,,,,,,,,,,,,,,,
